name;birthday;nationality
Tom Hanks;09/07/1956;USA
Julia Roberts;28/10/1967;USA
Wagner Moura;28/10/1976;BRAZIL
Brad Pitt;18/12/1963;USA
Fernanda Montenegro;16/10/1929;BRAZIL
